Tamaño de Muestra,Función Objetivo Greedy,Función Objetivo Batching,Tiempo Greedy,Tiempo Batching,%Gap (Función Objetivo),%Gap (Tiempo de Resolución)
10,36.9,29.3,0.003541,1.24487,0.259386,-0.997156
10,42.4,32.4,0.00275,0.055208,0.308642,-0.950188
10,65.6,56.9,0.002875,0.10475,0.1529,-0.972554
10,29.5,23.7,0.003125,0.053666,0.244726,-0.941769
10,33.9,30.8,0.002917,0.045292,0.100649,-0.935596
10,63.6,54.4,0.002666,0.0535,0.169118,-0.950168
10,44.9,41,0.002291,0.044375,0.095122,-0.948372
10,56.3,46.9,0.002542,0.07125,0.200426,-0.964323
10,38.1,35.5,0.002709,0.052208,0.0732394,-0.948111
10,58.1,49.7,0.002584,0.051584,0.169014,-0.949907
100,408.7,329.5,0.08025,3.16546,0.240364,-0.974648
100,380,344.2,0.077459,2.71821,0.104009,-0.971504
100,307.7,241.5,0.069584,2.56658,0.27412,-0.972888
100,380.1,317.4,0.069583,2.87317,0.197543,-0.975782
100,279.2,234.8,0.06125,2.13746,0.189097,-0.971344
100,398.5,341.7,0.06225,2.1715,0.166228,-0.971333
100,323.1,250.9,0.055791,2.54642,0.287764,-0.97809
100,325.5,260,0.056375,2.04467,0.251923,-0.972428
100,271.3,227.6,0.060375,1.96808,0.192004,-0.969323
100,299,258.7,0.057291,2.24771,0.155779,-0.974511
250,917.9,706.5,0.340666,14.5732,0.299222,-0.976624
250,988.2,773.9,0.311833,15.0235,0.276909,-0.979244
250,736.9,599.5,0.310875,17.3002,0.229191,-0.982031
250,844.5,730.9,0.328334,12.874,0.155425,-0.974496
250,844.2,727,0.358208,16.283,0.16121,-0.978001
250,795.7,635.6,0.345834,13.435,0.251888,-0.974259
250,793.7,676.1,0.326042,15.7317,0.173939,-0.979275
250,867.8,681.7,0.324791,16.4275,0.272994,-0.980229
250,944.9,825.7,0.361542,18.2572,0.144362,-0.980197
250,762.2,659.1,0.340416,17.7662,0.156425,-0.980839
500,1655.3,1371.2,1.26192,69.3955,0.207191,-0.981816
500,1605.1,1412.8,1.27017,58.1093,0.136113,-0.978142
500,1486.9,1270.6,1.18846,62.6217,0.170235,-0.981022
500,1390.2,1174.4,1.11592,69.6262,0.183753,-0.983973
500,1467,1291.7,1.18933,59.5814,0.135713,-0.980039
500,1441.5,1255.4,1.1825,58.924,0.14824,-0.979932
500,1737.4,1521.8,1.28542,71.7681,0.141674,-0.982089
500,1705.1,1417.4,1.16971,58.3798,0.202977,-0.979964
500,1512.7,1243.5,1.20708,82.6715,0.216486,-0.985399
500,1531.7,1309.4,1.30904,84.552,0.169772,-0.984518
