Función Objetivo Greedy,Función Objetivo Taxi Batching,Función Objetivo Batching Modificado,Ratio Distancia Greedy,Ratio Distancia Taxi Batching,Ratio Distancia Batching Modificado
36.9,29.3,30,233.605,155.609,112.025
42.4,32.4,33,141.662,86.0936,60.4664
65.6,56.9,62.7,345.319,294.788,264.085
29.5,23.7,24.4,174.853,158.193,92.927
33.9,30.8,32.2,136.098,152.464,91.5424
63.6,54.4,56.4,277.13,212.53,181.897
44.9,41,44.2,321.365,234.344,128.599
56.3,46.9,56.5,120.383,130.761,102.659
38.1,35.5,37.7,257.545,214.046,148.949
58.1,49.7,50.5,309.314,373.98,229.594
408.7,329.5,355.2,258.58,182.852,81.5724
380,344.2,376.6,213.852,192.328,96.1421
307.7,241.5,282.8,161.609,151.497,63.3355
380.1,317.4,350.3,203.977,183.517,83.8331
279.2,234.8,261.7,212.171,141.003,67.5123
398.5,341.7,365.8,364.669,156.293,80.983
323.1,250.9,273.4,150.557,122.059,65.9285
325.5,260,294.2,131.414,147.787,72.4299
271.3,227.6,246.4,142.685,110.435,60.0121
299,258.7,275.4,188.482,147.619,75.9463
917.9,706.5,746.2,434.975,218.174,71.0057
988.2,773.9,869.7,195.585,158.265,69.4597
736.9,599.5,664.3,167.752,128.291,51.967
844.5,730.9,783.6,164.034,162.396,65.9999
844.2,727,757.6,174.334,161.473,68.2377
795.7,635.6,688.1,167.626,141.413,51.4139
793.7,676.1,719.1,181.105,129.195,59.0549
867.8,681.7,729.4,197.072,146.83,57.7252
944.9,825.7,897.8,186.2,171.184,73.4987
762.2,659.1,697.9,160.544,128.284,59.6144
1655.3,1371.2,1458.9,195.006,135.708,58.6133
1605.1,1412.8,1493.7,179.834,141.593,58.5084
1486.9,1270.6,1357.5,154.337,179.326,53.8535
1390.2,1174.4,1270.6,138.153,133.43,44.4568
1467,1291.7,1371.7,166.36,141.486,51.098
1441.5,1255.4,1340.3,150.134,140.544,51.1134
1737.4,1521.8,1627.8,162.76,156.754,65.6257
1705.1,1417.4,1499.5,184.45,188.268,68.7917
1512.7,1243.5,1334.9,151.214,142.377,51.7915
1531.7,1309.4,1385.4,162.312,142.339,47.5783
